"","Gene_Symbol","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30"
"31316","ENSG00000222407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31318","ENSG00000252516",28,29,0,0,4,0,0,1,0,0,3,0,1,0,2,0,0,6,13,3,0,0,6,13,11,15,15,11,5,17
"31319","ENSG00000201610",0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31320","ENSG00000285626",0,0,0,0,0,0,0,0,2,0,0,1,4,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"31321","ENSG00000212171",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31322","ENSG00000206882",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"31323","ENSG00000202430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31324","ENSG00000222232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31325","ENSG00000201671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31326","ENSG00000212204",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31327","ENSG00000252246",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"31328","ENSG00000199395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31329","ENSG00000252726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31330","ENSG00000222251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31331","ENSG00000251850",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31332","ENSG00000201876",0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
"31333","ENSG00000200028",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31335","ENSG00000129538",15,2,56,2,79,0,19,1,14,9,0,1,0,0,1,0,0,4,7,278,0,1,17,12,4,7,30,19,24,82
"31336","ENSG00000182545",2,0,2,2,6,3,1,2,0,0,1,2,0,0,0,1,0,1,2,3,0,0,1,0,0,1,0,1,2,1
"31337","ENSG00000173464",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
"31338","ENSG00000258436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31339","ENSG00000206150",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,4,0,0
"31340","ENSG00000169385",641,254,675,258,580,161,117,0,221,2472,120,457,0,0,5,516,0,522,349,3633,0,3611,543,439,1788,177,204,437,254,849
"31341","ENSG00000169397",247,29,45,0,57,18,20,0,25,1149,6,68,0,0,0,0,1,100,100,376,0,0,136,27,329,23,29,95,61,836
